,country,year,fertility_rate,population_rate,life_expentancy_rate,continent
25,Afghanistan,1960,7.67,8994793.0,31.94,Asia
26,Afghanistan,1961,7.67,9164945.0,32.47,Asia
27,Afghanistan,1962,7.67,9343772.0,33.01,Asia
28,Afghanistan,1963,7.67,9531555.0,33.53,Asia
29,Afghanistan,1964,7.67,9728645.0,34.07,Asia
30,Afghanistan,1965,7.67,9935358.0,34.6,Asia
31,Afghanistan,1966,7.67,10148841.0,35.13,Asia
32,Afghanistan,1967,7.67,10368600.0,35.66,Asia
33,Afghanistan,1968,7.67,10599790.0,36.17,Asia
34,Afghanistan,1969,7.67,10849510.0,36.69,Asia
35,Afghanistan,1970,7.67,11121097.0,37.2,Asia
36,Afghanistan,1971,7.67,11412821.0,37.7,Asia
37,Afghanistan,1972,7.67,11716896.0,38.19,Asia
38,Afghanistan,1973,7.67,12022514.0,38.67,Asia
39,Afghanistan,1974,7.67,12315553.0,39.14,Asia
40,Afghanistan,1975,7.67,12582954.0,39.61,Asia
41,Afghanistan,1976,7.67,12831361.0,40.07,Asia
42,Afghanistan,1977,7.67,13056499.0,40.53,Asia
43,Afghanistan,1978,7.67,13222547.0,40.98,Asia
44,Afghanistan,1979,7.67,13283279.0,41.46,Asia
45,Afghanistan,1980,7.67,13211412.0,41.96,Asia
46,Afghanistan,1981,7.67,12996923.0,42.51,Asia
47,Afghanistan,1982,7.67,12667001.0,43.11,Asia
48,Afghanistan,1983,7.67,12279095.0,43.75,Asia
49,Afghanistan,1984,7.68,11912510.0,44.45,Asia
50,Afghanistan,1985,7.68,11630498.0,45.21,Asia
51,Afghanistan,1986,7.68,11438949.0,46.02,Asia
52,Afghanistan,1987,7.68,11337932.0,46.87,Asia
53,Afghanistan,1988,7.68,11375768.0,47.74,Asia
54,Afghanistan,1989,7.68,11608351.0,48.62,Asia
55,Afghanistan,1990,7.69,12067570.0,49.5,Asia
56,Afghanistan,1991,7.7,12789374.0,49.3,Asia
57,Afghanistan,1992,7.73,13745630.0,49.4,Asia
58,Afghanistan,1993,7.76,14824371.0,49.5,Asia
59,Afghanistan,1994,7.8,15869967.0,48.9,Asia
60,Afghanistan,1995,7.83,16772522.0,49.4,Asia
61,Afghanistan,1996,7.86,17481800.0,49.7,Asia
62,Afghanistan,1997,7.87,18034130.0,49.5,Asia
63,Afghanistan,1998,7.85,18511480.0,48.6,Asia
